postcode,2021_population,2022_population,2023_population,2024_population,2025_population,income_mean,income_median
3000,43823.0,47939.0,52442.0,57368.0,62757.0,52476.0,30024.0
3001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3002,4962.0,5036.0,5111.0,5187.0,5264.0,132130.0,75755.0
3004,8797.876564417178,9447.261840490797,10153.743067484662,10922.731288343557,11759.357546012268,60208.31582822086,35776.034601226995
3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3006,25424.063763451675,27062.707995574776,28837.273981695664,30759.603137885948,32843.031962184454,122949.6638439103,86225.68802172382
3008,15942.0,22673.0,32247.0,45864.0,65231.0,71476.0,55150.0
3010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3011,23118.58103975535,23526.180428134558,23940.77981651376,24363.987767584098,24795.195718654435,105301.55657492355,89634.52293577982
3012,40988.6451388444,41518.995843832294,42057.38289803872,42605.01302539674,43160.9807323726,161992.09768542997,140290.01703301255
3013,15653.0,15826.0,16001.0,16178.0,16357.0,83130.0,69410.0
3015,18985.0,19228.0,19474.0,19724.0,19977.0,83403.0,69816.0
3016,16074.0,16183.0,16293.0,16403.0,16514.0,94350.0,65886.0
3018,13652.0,13728.0,13804.0,13881.0,13958.0,71989.0,60433.0
3019,3576.2356687898086,3650.8598726114647,3726.9617834394903,3804.726114649681,3884.152866242038,9770.414012738853,8452.114649681527
3020,37671.90852298081,37953.83792949576,38238.25327978581,38524.15457385096,38811.9521642124,166199.65765283356,145685.8490852298
3021,46962.35220125786,46894.06918238994,46827.698113207545,46763.23899371069,46699.69182389937,140813.03144654087,127743.23270440252
3022,787.6296296296296,793.1259259259259,798.6222222222221,804.1185185185185,809.7185185185185,5193.274074074074,4597.496296296296
3023,54920.753501400555,63730.233193277316,74827.68837535013,89008.89285714286,107391.0525210084,263812.53781512607,236201.75840336134
3024,56503.95266488413,62658.034660045836,69783.40524318819,78061.35771708684,87711.51524191495,115377.08019607842,103592.16528011205
3025,15086.0,15187.0,15289.0,15392.0,15495.0,65402.0,56991.0
3026,1462.1858146243571,1523.8321836197165,1588.0904302019317,1655.0948827292111,1724.963125548727,5197.4426188385805,4485.512479618714
3027,21844.089552238805,25435.223880597016,29651.20895522388,34602.432835820895,40419.08955223881,79800.53731343284,64138.388059701494
3028,32268.91791044776,32654.0447761194,33057.64179104478,33481.18656716418,33925.41791044776,162209.50746268657,143191.4776119403
3029,97876.255,115123.695,136104.805,161632.81,192695.01,150566.41,134510.91
3030,78743.34555640438,91247.8113063407,108639.28520499109,133251.35014005602,168568.07664884135,210026.48459383752,185228.9131652661
3031,15192.192771084337,15415.265060240963,15641.807228915663,15872.349397590362,16105.891566265062,112616.22891566265,93083.1686746988
3032,32937.80722891566,33625.73493975904,34335.19277108434,35065.65060240964,35819.10843373494,182684.77108433735,144249.8313253012
3033,2115.9384615384615,2107.0769230769233,2098.2153846153847,2089.3538461538465,2080.7384615384617,16925.046153846153,13451.569230769232
