SA2,SA2 name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
201011001,Alfredton,5756,6092,6293,6480,6648,6761,7034,7272,7614,7894,8452,9060,9714,10338,11039,11852,12639,13520,14408,15472,16823
201011002,Ballarat,11497,11708,12015,12189,12269,12356,12408,12480,12476,12462,12365,12357,12352,12327,12300,12301,12261,12237,12311,12183,12076
201011003,Ballarat - North,20268,20586,20838,21000,21134,21279,21492,21736,21937,22215,22424,22612,22857,23000,23211,23539,23836,24031,24235,24299,24348
201011004,Ballarat - South,20424,20389,20407,20314,20423,20534,20911,21470,21940,22666,23193,23442,23696,24049,24296,24654,24983,25265,25406,25395,25269
201011005,Buninyong,5320,5399,5557,5620,5857,6037,6131,6252,6431,6595,6725,6854,6984,7082,7191,7311,7407,7413,7452,7369,7232
201011006,Delacombe,4154,4225,4371,4465,4704,5041,5206,5349,5557,5699,5838,6020,6267,6583,6846,7195,7617,8174,8876,9736,10640
201011007,Smythes Creek,3317,3378,3411,3473,3508,3542,3594,3658,3714,3774,3819,3872,3914,3945,3966,3990,4002,4040,4109,4148,4213
201011008,Wendouree - Miners Rest,13355,13255,13161,13095,13028,12963,13033,13334,13718,14104,14473,14625,14707,14746,14779,14826,14933,15056,15160,15242,15314
201021009,Bacchus Marsh Region,4900,4929,4948,4993,5048,5070,5138,5242,5387,5536,5672,5754,5819,5852,5903,5982,6093,6217,6344,6457,6533
201021010,Creswick - Clunes,7467,7423,7402,7395,7332,7316,7351,7388,7421,7473,7503,7573,7639,7702,7781,7870,7910,7954,7981,8016,8036
201021011,Daylesford,8201,8161,8119,8160,8037,8046,8059,8227,8434,8536,8589,8701,8829,8934,9018,9117,9238,9380,9536,9713,9870
201021012,Gordon (Vic.),5350,5315,5320,5322,5351,5371,5381,5404,5463,5485,5488,5529,5582,5631,5692,5761,5866,5990,6114,6236,6337
201031013,Avoca,3151,3163,3182,3202,3247,3294,3296,3293,3333,3343,3347,3342,3337,3322,3317,3323,3349,3389,3417,3440,3498
201031014,Beaufort,3809,3801,3800,3809,3821,3838,3843,3852,3869,3882,3886,3955,4047,4172,4317,4454,4483,4444,4536,4598,4618
201031015,Golden Plains - North,3875,3908,3912,3915,3948,3956,3973,3988,4032,4068,4102,4195,4284,4363,4444,4540,4609,4688,4778,4824,4868
201031016,Maryborough (Vic.),7742,7738,7714,7653,7597,7574,7599,7619,7673,7692,7674,7750,7809,7865,7915,8001,8057,8132,8146,8115,8116
201031017,Maryborough Region,5375,5335,5279,5177,5118,5073,5081,5102,5153,5153,5106,5135,5180,5197,5222,5278,5342,5392,5394,5373,5475
202011018,Bendigo,15549,15579,15477,15221,15016,14903,14855,14784,14763,14752,14811,14806,14785,14764,14753,14770,14836,14927,15055,15063,14951
202011019,California Gully - Eaglehawk,9453,9487,9472,9485,9531,9683,9788,9888,10013,10159,10262,10556,11008,11352,11705,12130,12295,12454,12613,12775,12923
202011020,East Bendigo - Kennington,12682,12962,13285,13413,13430,13476,13542,13641,13720,13817,13902,13905,13892,13858,13805,13750,13801,13825,13881,13785,13925
202011021,Flora Hill - Spring Gully,8823,8925,9029,9103,9132,9173,9184,9212,9268,9310,9294,9340,9396,9445,9460,9493,9501,9518,9538,9562,9420
202011022,Kangaroo Flat - Golden Square,16792,16895,17132,17232,17225,17378,17606,17882,18207,18522,18818,19138,19377,19563,19742,19947,20180,20422,20690,20900,21060
202011023,Maiden Gully,2708,2843,3016,3151,3295,3453,3642,3752,3890,4087,4354,4541,4724,4859,4983,5155,5248,5317,5358,5455,5500
202011024,Strathfieldsaye,4134,4331,4668,5054,5310,5597,5927,6246,6568,6823,7095,7400,7678,8012,8355,8775,9120,9475,9889,10296,10676
202011025,White Hills - Ascot,6171,6214,6293,6432,6727,7141,7619,7908,8171,8508,8804,9312,9912,10604,11232,11914,12471,12983,13561,14014,14444
202021026,Bendigo Region - South,4976,5097,5227,5421,5557,5695,5827,5954,6113,6169,6265,6412,6574,6772,7020,7346,7576,7789,7915,8143,8306
202021027,Castlemaine,9358,9433,9570,9592,9603,9626,9691,9746,9794,9860,9920,10006,10134,10308,10545,10770,10882,11004,11131,11257,11285
202021028,Castlemaine Region,7724,7736,7804,7830,7871,7909,7982,8122,8180,8253,8281,8344,8408,8484,8539,8621,8695,8774,8848,8960,9145
202021029,Heathcote,3895,3901,3918,3967,3966,3962,3974,4004,4043,4083,4110,4207,4290,4368,4452,4529,4605,4690,4783,4893,5023
202021030,Kyneton,7941,7987,8013,8099,8194,8243,8367,8495,8668,8785,8895,9136,9327,9503,9656,9782,9918,10060,10206,10353,10494
202021031,Woodend,5915,5972,5974,6001,6058,6120,6178,6248,6385,6437,6579,6618,6707,6827,6908,7043,7218,7399,7584,7699,7908
202031032,Bendigo Region - North,3900,3930,3964,4014,4060,4073,4073,4089,4134,4168,4192,4226,4258,4299,4351,4413,4507,4610,4705,4790,4906
202031033,Loddon,8033,7954,7851,7703,7606,7513,7464,7397,7324,7234,7111,7103,7093,7083,7085,7098,7106,7130,7156,7178,7230
203011034,Bannockburn,2569,2723,2970,3182,3440,3587,3825,4078,4313,4527,4754,5121,5584,5910,6192,6549,6877,7122,7352,7594,7733
203011035,Golden Plains - South,5111,5110,5184,5361,5494,5581,5630,5732,5882,6072,6283,6416,6580,6681,6786,6937,7112,7317,7539,7756,8065
203011036,Winchelsea,5418,5436,5441,5491,5487,5508,5545,5615,5724,5756,5788,5794,5801,5803,5805,5824,5886,5989,6144,6347,6582
203021037,Belmont,14160,14015,13901,13790,13683,13631,13630,13666,13705,13805,13910,13968,14012,14086,14175,14312,14591,14741,14956,15070,14994
203021038,Corio - Norlane,26445,26384,26263,26062,25768,25684,25825,25979,26133,26330,26469,26525,26617,26702,26806,27029,27308,27460,27591,27620,27398
203021039,Geelong,11944,11954,11984,12021,12027,11996,12078,12151,12237,12342,12422,12550,12692,12834,12955,13077,13199,13323,13419,13471,13477
203021040,Geelong West - Hamlyn Heights,18634,18687,18675,18562,18462,18504,18574,18754,18939,19092,19247,19354,19476,19588,19756,20021,20219,20491,20781,21107,21244
203021041,Grovedale,14497,15063,15588,16138,16867,17529,18117,18699,19198,19692,20136,20364,20782,21248,22204,23790,25877,28113,30211,32654,35111
203021042,Highton,15469,15990,16503,16923,17313,17726,18100,18480,18991,19449,19834,20397,21148,21858,22390,22794,23062,23440,23776,23815,24079
203021043,Lara,13075,13665,14004,14213,14417,14684,14878,15100,15283,15503,15861,16507,17078,17546,17996,18587,19141,19759,20258,20540,20850
203021044,Leopold,8074,8428,8725,8877,8965,9067,9065,9219,9485,9784,10230,10726,11369,11985,12544,13140,13352,13398,13302,13255,13213
203021045,Newcomb - Moolap,13933,14167,14375,14545,14663,14676,14706,14758,14801,14885,14962,14956,14927,14880,14858,14873,15002,15141,15396,15451,15402
203021046,Newtown (Vic.),9774,9769,9787,9800,9807,9827,9857,9885,9913,9968,10030,10073,10205,10273,10368,10483,10551,10598,10612,10539,10406
203021047,North Geelong - Bell Park,13578,13666,13712,13759,13801,13834,13919,14045,14195,14361,14487,14478,14496,14558,14710,15040,15299,15471,15834,15824,15739
203031048,Clifton Springs,10204,10546,10665,10781,10945,11036,11184,11350,11558,11735,11866,11992,12248,12591,13074,13593,14141,14747,15556,16111,16716
203031049,Lorne - Anglesea,4748,4791,4822,4816,4818,4799,4871,4989,5073,5123,5151,5165,5184,5195,5211,5261,5379,5519,5671,5882,6189
203031050,Ocean Grove - Barwon Heads,15596,16111,16333,16550,16728,16817,17191,17566,17946,18349,18842,19472,20291,21435,22747,24177,25461,26741,28100,29416,30698
203031051,Portarlington,5391,5455,5558,5599,5716,5681,5863,5978,6186,6400,6647,6880,7042,7139,7276,7517,7770,8082,8403,8866,9450
203031052,Point Lonsdale - Queenscliff,4124,4152,4150,4130,4101,4130,4126,4150,4158,4175,4164,4176,4188,4201,4218,4249,4415,4587,4773,5114,5456
203031053,Torquay,10225,10625,10853,11058,11292,11758,12472,13221,14011,14743,15497,16337,17006,17641,18365,19131,20033,20972,22116,23299,24617
204011054,Alexandra,6263,6248,6250,6251,6267,6271,6299,6279,6250,6219,6219,6270,6298,6349,6404,6474,6546,6640,6678,6679,6768
204011055,Euroa,6188,6164,6139,6102,6047,6019,6040,6035,6015,6017,6002,6056,6104,6175,6247,6316,6426,6542,6652,6766,6864
204011056,Kilmore - Broadford,8889,9094,9548,9919,10237,10406,10798,11016,11257,11685,12038,12468,12883,13271,13642,14098,14385,14678,15090,15304,15517
204011057,Mansfield (Vic.),6907,6982,7037,7158,7408,7601,7707,7865,8026,8144,8202,8357,8533,8652,8788,8935,9162,9429,9705,10095,10454
204011058,Nagambie,3311,3309,3352,3368,3369,3424,3468,3500,3538,3580,3621,3693,3768,3849,3936,4048,4104,4186,4246,4380,4507
204011059,Seymour,6987,6888,6860,6773,6670,6570,6551,6513,6524,6526,6518,6507,6473,6432,6407,6403,6430,6472,6508,6528,6545
204011060,Seymour Region,4213,4230,4243,4230,4195,4145,4210,4218,4222,4246,4252,4261,4315,4462,4469,4487,4553,4594,4601,4601,4632
204011061,Upper Yarra Valley,173,176,177,179,184,187,194,202,213,219,221,213,206,199,192,184,193,206,215,224,240
204011062,Yea,3497,3547,3563,3552,3540,3573,3563,3537,3477,3428,3446,3448,3469,3496,3534,3606,3696,3800,3903,4013,4142
204021063,Benalla,10247,10272,10289,10303,10306,10310,10317,10340,10375,10425,10471,10470,10468,10451,10425,10420,10478,10544,10607,10682,10750
204021064,Benalla Region,3632,3605,3574,3513,3457,3445,3451,3438,3452,3439,3415,3437,3469,3507,3559,3623,3634,3673,3683,3746,3752
204021065,Rutherglen,3432,3462,3494,3534,3572,3626,3661,3693,3716,3731,3739,3768,3795,3818,3857,3907,3932,3972,4007,4021,4019
204021066,Wangaratta,17109,17123,17136,17175,17223,17320,17419,17541,17676,17837,17980,18144,18294,18437,18624,18940,19183,19453,19600,19683,19877
204021067,Wangaratta Region,9151,9218,9242,9289,9385,9456,9452,9464,9435,9363,9232,9294,9356,9425,9519,9652,9753,9788,9803,9785,9863
204031068,Beechworth,4216,4208,4202,4190,4184,4180,4197,4214,4230,4260,4289,4354,4412,4463,4541,4632,4733,4797,4868,4930,4954
204031069,Bright - Mount Beauty,8111,8110,8073,7995,7940,7874,7838,7826,7813,7841,7875,7970,8052,8120,8179,8299,8394,8518,8583,8720,8848
