SA2,SA2 name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
204031070,Chiltern - Indigo Valley,2904,2922,2923,2925,2957,2952,2903,2905,2912,2906,2907,2934,2974,3005,3055,3117,3115,3116,3146,3162,3158
204031071,Myrtleford,4714,4712,4721,4722,4734,4733,4722,4682,4642,4601,4560,4594,4623,4651,4689,4742,4736,4730,4730,4726,4716
204031072,Towong,6204,6185,6137,6124,6091,6083,6055,6035,6038,5989,5890,5910,5931,5952,5974,6014,6041,6072,6109,6132,6153
204031073,West Wodonga,12929,13263,13640,14041,14126,14104,14211,14351,14465,14610,14749,14901,15008,15072,15111,15181,15197,15234,15285,15337,15357
204031074,Wodonga,19035,19218,19355,19487,19471,19491,19626,19806,20189,20677,21276,21857,22567,23297,24112,24919,25616,26265,26743,27251,27826
204031075,Yackandandah,3997,4062,4142,4189,4261,4335,4329,4349,4410,4435,4433,4461,4489,4511,4536,4578,4660,4773,4900,5043,5187
205011076,Drouin,9882,10015,10130,10340,10472,10734,11020,11315,11832,12599,13323,14046,14678,15201,15787,16435,17107,17762,18422,19164,19790
205011077,Mount Baw Baw Region,5736,5750,5762,5801,5815,5857,5890,5914,5992,6036,6053,6059,6069,6073,6078,6095,6168,6253,6349,6423,6539
205011078,Trafalgar (Vic.),6112,6066,6067,6022,5990,6051,6189,6374,6625,6947,7166,7270,7394,7513,7656,7828,7980,8052,8098,8153,8313
205011079,Warragul,14203,14327,14501,14654,14959,15275,15561,15902,16225,16632,16964,17284,17635,18004,18466,19088,19753,20478,21251,22055,23080
205021080,Alps - East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0
205021081,Bairnsdale,12080,12108,12189,12342,12462,12662,12846,13001,13126,13320,13458,13680,13894,14157,14524,14899,15162,15391,15528,15538,15648
205021082,Bruthen - Omeo,6909,6979,7028,7125,7248,7341,7340,7330,7337,7348,7380,7498,7599,7695,7781,7902,7960,8007,8048,8111,8238
205021083,Lake King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,Lakes Entrance,8343,8447,8486,8585,8669,8759,8891,9076,9272,9453,9642,9762,9852,9901,9949,10038,10207,10414,10634,10855,11091
205021085,Orbost,7047,6975,6939,6926,6902,6865,6851,6840,6828,6813,6800,6746,6691,6604,6528,6497,6503,6527,6561,6608,6690
205021086,Paynesville,4638,4763,4838,4947,5008,5074,5196,5300,5462,5570,5654,5761,5887,6034,6200,6374,6451,6592,6730,6783,6897
205031087,Foster,8272,8242,8198,8173,8167,8170,8172,8189,8211,8240,8266,8429,8564,8666,8774,8897,8969,9021,9114,9276,9377
205031088,French Island,90,91,92,91,92,92,96,101,104,108,113,113,113,114,114,114,119,124,128,133,138
205031089,Korumburra,7981,8013,8070,8125,8185,8246,8328,8406,8528,8650,8819,8915,9015,9088,9167,9253,9342,9442,9581,9742,9783
205031090,Leongatha,9791,9804,9909,9953,10026,10029,10118,10240,10393,10535,10678,10835,10939,11006,11077,11202,11230,11317,11402,11417,11434
205031091,Phillip Island,7361,7585,7838,7967,8260,8303,8573,8880,9193,9500,9657,9802,9946,10104,10334,10686,11275,11888,12452,13047,13724
205031092,Wilsons Promontory,13,13,13,13,13,13,13,13,14,14,14,14,14,13,13,13,13,14,14,15,15
205031093,Wonthaggi - Inverloch,17647,17801,17956,18117,18250,18359,18602,18891,19168,19787,20396,20801,21181,21611,22039,22577,23270,23966,24739,25631,26723
205041094,Churchill,11430,11365,11289,11232,11220,11218,11265,11327,11385,11489,11568,11567,11579,11576,11574,11594,11607,11632,11679,11763,11855
205041095,Moe - Newborough,17061,17105,17132,17090,16975,16915,16795,16787,16771,16876,16955,16916,16888,16843,16815,16840,16906,16985,17075,17173,17263
205041096,Morwell,14345,14268,14150,14001,13944,13936,13984,14053,14108,14207,14302,14265,14204,14111,14049,14024,14042,14094,14157,14258,14393
205041097,Traralgon,22020,22239,22515,22828,23222,23844,24356,24888,25381,25844,26307,26566,26750,26888,27076,27361,27705,28028,28337,28586,28735
205041098,Yallourn North - Glengarry,4579,4573,4527,4522,4491,4479,4453,4464,4478,4490,4477,4503,4525,4547,4585,4643,4637,4622,4626,4649,4691
205051099,Alps - West,26,26,26,26,26,25,26,27,27,28,29,28,27,26,25,24,24,24,23,23,23
205051100,Longford - Loch Sport,3830,3782,3751,3721,3700,3685,3730,3769,3806,3861,3902,4008,4103,4184,4269,4367,4446,4522,4655,4777,4901
205051101,Maffra,13002,12976,12958,12984,13023,13076,13157,13263,13371,13488,13595,13689,13739,13804,13873,13973,14125,14244,14400,14574,14693
205051102,Rosedale,4441,4428,4402,4386,4354,4348,4357,4407,4508,4573,4664,4699,4727,4742,4759,4791,4853,4895,4913,4861,4909
205051103,Sale,13676,13673,13685,13724,13820,13942,14019,14134,14222,14315,14441,14568,14666,14729,14781,14891,14906,14974,15057,15148,15259
205051104,Yarram,5686,5626,5560,5491,5465,5449,5453,5443,5451,5419,5329,5335,5345,5349,5351,5371,5401,5433,5469,5538,5556
206011105,Brunswick,20661,20906,21015,21147,21384,21655,22144,22641,23110,23546,23987,24656,25384,26155,26799,27435,27704,28115,28342,28337,26306
206011106,Brunswick East,7263,7304,7329,7514,7658,7803,8058,8313,8586,8789,8966,9208,9870,10439,11062,11716,12149,12382,12588,13045,12963
206011107,Brunswick West,12415,12404,12449,12527,12609,12746,12946,13232,13580,13741,13864,13963,14057,14192,14344,14523,14549,14685,14840,14991,14499
206011108,Coburg,22916,23137,23330,23584,23998,24353,24772,25319,25841,26015,26234,26540,26843,27127,27420,27802,27948,28056,27997,27750,26859
206011109,Pascoe Vale South,8841,8860,8894,8967,9070,9206,9318,9445,9678,9810,9860,9954,10038,10122,10251,10465,10693,10825,10861,10819,10461
206021110,Alphington - Fairfield,7885,7924,7951,7976,8032,8105,8189,8270,8377,8506,8561,8706,8827,8944,9134,9434,9470,9409,9459,9527,9072
206021111,Northcote,21150,21244,21369,21567,21817,22220,22726,23282,23821,24070,24152,24419,24982,25551,25992,26424,26630,26885,27011,27036,25657
206021112,Thornbury,17056,17084,17084,17118,17193,17368,17622,17880,18064,18177,18258,18484,18773,18985,19254,19578,19711,19699,19708,19763,19152
206031113,Ascot Vale,12516,12595,12645,12693,12782,12890,13275,13671,13914,14012,14135,14309,14491,14870,15219,15497,15676,15740,15758,15762,15351
206031114,Essendon - Aberfeldie,23968,23933,23925,24025,24167,24395,24583,24854,25262,25575,25845,26169,26631,27304,28065,28946,29327,29525,29644,29645,28493
206031115,Flemington,8063,8071,8018,8124,8240,8410,8661,8841,9030,9261,9547,9791,10068,10311,10531,10734,10663,10650,10454,10263,9190
206031116,Moonee Ponds,12608,12691,12777,12830,12971,13123,13287,13618,14014,14164,14168,14436,14666,14820,14949,15158,15489,15768,16081,16621,16406
206041117,Carlton,9529,10022,10611,11224,11924,12737,13509,14133,14687,14926,15122,15605,16719,17843,18983,20242,20669,20869,21088,20943,17198
206041118,Docklands,154,926,1913,3089,3779,4152,4592,5040,5402,5780,6196,6802,7988,9170,10444,11832,13923,15439,16375,16678,15942
206041119,East Melbourne,3731,3859,4243,4460,4495,4555,4806,5055,5202,5272,5238,5280,5333,5374,5411,5475,5495,5409,5413,5378,4962
206041120,Flemington Racecourse,37,42,46,50,56,63,68,73,79,83,86,87,88,89,90,91,88,86,83,81,78
206041121,Kensington (Vic.),7686,8007,8155,8605,8830,9013,9481,9828,10158,10230,10259,10487,10762,11030,11291,11530,11535,11485,11600,11402,10874
206041122,Melbourne,7644,9592,11400,12727,14292,15249,16225,17325,18751,20382,21815,24882,29650,33626,37162,40181,44599,47615,49743,50425,43823
206041123,North Melbourne,11639,11939,12250,12826,13278,13714,14277,14812,15409,15875,16361,17412,18636,19644,20779,22106,23087,24187,25042,25732,23617
206041124,Parkville,5332,5327,5253,5201,5157,5270,5649,6000,6331,6482,6551,6872,7174,7447,7682,7898,8182,8243,8294,8321,7446
206041125,South Yarra - West,5317,5233,5176,5183,5289,5538,5837,6118,6380,6418,6426,6400,6393,6397,6405,6453,6831,6954,7052,6955,6542
206041126,Southbank,4330,5645,7102,8167,9097,9863,10697,11408,11931,12130,12174,13746,15964,17355,18626,20288,21580,23159,24413,24870,23173
206041127,West Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0
206051128,Albert Park,12368,12595,12800,12997,13269,13550,13731,13928,14245,14595,15009,15142,15282,15592,16053,16490,16495,16720,17071,16942,16023
206051129,Elwood,13342,13500,13683,13934,14216,14477,14790,15076,15425,15552,15666,15807,15910,16063,16145,16382,16383,16259,16191,15910,15041
206051130,Port Melbourne,10903,11794,12515,13037,13543,14049,14577,14958,15315,15363,15413,15964,16498,16915,17254,17469,17487,17344,17297,16981,16373
206051131,Port Melbourne Industrial,9,9,9,9,9,9,10,11,13,14,15,17,19,21,23,25,182,535,881,1268,1472
206051132,South Melbourne,8529,8771,9021,9375,9532,9719,9963,10126,10343,10400,10396,10989,11521,11972,12253,12492,12700,12956,13153,13144,12330
206051133,St Kilda,19808,20203,20680,21061,21537,21990,22471,22918,23451,23798,24091,25233,26027,26760,27349,28166,28686,29228,29429,29011,26204
206051134,St Kilda East,15095,15348,15462,15604,15725,15847,15948,16157,16480,16653,16686,16755,16912,17139,17315,17613,17562,17646,17704,17245,16085
206061135,Armadale,8632,8683,8724,8770,8783,8863,8990,9148,9260,9318,9301,9308,9338,9387,9485,9619,9632,9899,10036,10063,9436
206061136,Prahran - Windsor,16588,16724,16820,17117,17358,17594,17921,18299,18583,18695,18738,19401,19977,20481,20834,21275,21364,21276,21081,20831,19460
206061137,South Yarra - East,12922,13441,13626,13831,14110,14406,14572,14860,15292,15566,15778,17116,18062,19382,20587,22350,23147,23826,24054,23503,21581
206061138,Toorak,13318,13367,13455,13563,13672,13765,13861,13956,13979,13939,13768,13795,13841,13878,13939,14036,13958,13947,13903,13627,13098
206071139,Abbotsford,4150,4339,4444,4452,4498,4537,4638,4727,4833,5029,5213,5544,6539,7411,8078,8770,9288,9522,9586,9662,9262
206071140,Carlton North - Princes Hill,8433,8450,8457,8484,8525,8586,8692,8747,8761,8801,8786,8800,8835,8893,8964,9058,9023,9020,8988,8891,8295
206071141,Collingwood,5221,5419,5537,5602,5653,5761,5939,6185,6454,6684,6867,7209,7427,8022,8582,9235,9439,9597,9817,9953,9348
206071142,Fitzroy,8315,8503,8641,8772,8961,9241,9596,9857,10050,10238,10214,10507,10705,10880,11056,11259,11325,11364,11363,11284,10609
206071143,Fitzroy North,11130,11162,11202,11275,11486,11606,11725,11937,12104,12163,12143,12312,12446,12658,12901,13129,13249,13330,13521,13648,12955
206071144,Richmond (Vic.),24372,24672,24936,25227,25510,25883,26313,26774,27312,27583,27841,28874,29816,30936,31722,32686,33276,33710,34127,33910,32055
206071145,Yarra - North,7673,7687,7739,7833,7909,8034,8225,8372,8519,8595,8621,8814,9001,9237,9449,9606,9675,9761,9984,10151,9980
207011146,Ashburton (Vic.),7022,7084,7138,7189,7266,7286,7477,7618,7733,7834,7875,7912,7948,7970,8018,8104,8175,8245,8292,8301,8025
207011147,Balwyn,15317,15393,15462,15541,15694,15879,15988,16084,16187,16272,16314,16319,16382,16477,16573,16679,16914,17072,17144,17015,16332
207011148,Balwyn North,19958,20043,20099,20172,20289,20412,20532,20657,20753,20815,20850,21005,21155,21245,21332,21440,21609,21765,21916,21904,21411
207011149,Camberwell,20073,20112,20126,20144,20202,20218,20339,20479,20701,20822,20918,21144,21381,21739,22179,22646,22791,22799,22823,22583,21512
207011150,Glen Iris - East,15114,15220,15283,15376,15526,15625,15865,16228,16485,16609,16634,16817,16962,17034,17075,17182,17349,17408,17495,17354,17010
207011151,Hawthorn,19711,19812,19969,20182,20326,20531,20863,21091,21470,21721,22013,22356,23046,23629,24047,24548,24733,24783,24694,24216,22188
207011152,Hawthorn East,12912,13172,13343,13423,13505,13626,13835,14022,14241,14369,14417,14531,14732,15066,15601,16192,16466,16670,16749,16689,15898
207011153,Kew,24072,23938,23753,23667,23596,23583,23790,24371,24660,24757,24856,25123,25460,25957,26223,26504,26598,26642,26572,26115,24878
207011154,Kew East,6115,6137,6141,6156,6201,6239,6305,6407,6484,6519,6552,6581,6627,6679,6742,6855,6842,6782,6778,6776,6557
207011155,Surrey Hills (West) - Canterbury,15952,15975,15984,16035,16122,16206,16314,16451,16570,16608,16633,16695,16792,16864,16963,17126,17114,17129,17084,16769,16090
207021156,Bulleen,11057,11070,11046,10990,10920,10867,11013,11136,11290,11350,11376,11397,11434,11468,11504,11565,11580,11622,11615,11642,11371
207021157,Doncaster,18365,18506,18540,18562,18562,18599,18717,18834,19015,19131,19343,19659,20097,20505,21076,21885,22697,23218,24147,25083,25172
207021159,Templestowe,17182,17209,17187,17171,17178,17208,17267,17314,17376,17371,17344,17381,17427,17469,17550,17682,17706,17668,17658,17527,17105
207021160,Templestowe Lower,13634,13614,13550,13486,13460,13505,13590,13687,13781,13816,13792,13844,13914,14006,14155,14305,14397,14407,14425,14559,14278
207021424,Doncaster East (North),15248,15199,15102,15074,15042,15035,15025,15039,15036,15033,15013,15020,15055,15146,15242,15328,15507,15703,15940,16127,15792
207021425,Doncaster East (South),11912,12011,12125,12182,12288,12404,12718,13017,13234,13284,13343,13558,13733,14019,14302,14596,14921,15108,15750,15920,15593
207031161,Blackburn,19123,19128,19119,19121,19210,19317,19534,19999,20332,20490,20635,20920,21247,21503,21850,22291,22593,22727,22910,23003,22360
207031162,Blackburn South,10608,10574,10557,10546,10530,10588,10668,10760,10873,10958,10975,10982,11010,11046,11101,11229,11293,11346,11374,11328,11022
207031163,Box Hill,15447,15552,15629,15766,16109,16476,17012,17414,17965,18218,18240,18697,19169,19618,20170,20839,21747,22686,23420,24101,23232
207031164,Box Hill North,15780,15820,15843,15915,16038,16224,16447,16699,16973,17051,17036,17239,17543,17940,18205,18466,18557,18653,18749,18887,18304
207031165,Burwood,9807,9841,9856,9957,10048,10227,10363,10650,10936,11150,11327,11564,11846,12174,12493,12900,13249,13390,13447,13467,12543
207031166,Burwood East,10180,10140,10145,10165,10183,10239,10312,10408,10525,10572,10614,10636,10667,10685,10713,10772,10836,10892,10965,11041,10778
207031167,Surrey Hills (East) - Mont Albert,9243,9271,9414,9466,9522,9643,9832,10014,10150,10207,10145,10164,10228,10288,10356,10456,10559,10657,10743,10660,10262
208011168,Beaumaris,12763,12768,12729,12715,12721,12767,12877,13123,13264,13351,13375,13472,13631,13831,13995,14250,14269,14423,14391,14343,14124
208011169,Brighton (Vic.),21029,21084,21141,21190,21244,21360,21669,21940,22264,22441,22526,22651,22989,23467,23933,24353,24484,24530,24443,24110,23053
208011170,Brighton East,14355,14585,14782,14876,15011,15265,15460,15739,15958,16060,16087,16216,16372,16473,16585,16718,16792,16903,16978,16989,16695
208011171,Cheltenham - Highett (West),9657,9672,9677,9701,9750,9837,10008,10228,10431,10523,10544,10696,10817,11050,11226,11463,11755,12139,12349,12582,12541
208011172,Hampton,16026,16083,16174,16237,16326,16568,16790,17042,17302,17471,17699,17838,17999,18165,18345,18611,18727,18804,18894,18972,18406
208011173,Sandringham - Black Rock,14432,14525,14585,14675,14821,15010,15237,15463,15631,15748,15888,16098,16444,16811,17184,17517,17594,17746,17974,17885,17518
208021174,Bentleigh - McKinnon,19086,19273,19555,19839,20072,20409,20784,21203,21612,21819,21951,22388,22759,23067,23295,23586,24138,24581,25151,25411,25201
208021176,Carnegie,14982,15086,15136,15257,15477,15659,16003,16289,16742,16915,17047,17367,17775,18192,18645,19091,19281,19541,19673,19659,18803
208021177,Caulfield - North,18975,19149,19188,19227,19463,19698,19875,20101,20385,20583,20703,20930,21277,21614,21956,22288,22842,23028,23156,23380,22739
208021178,Caulfield - South,15636,15699,15815,16044,16262,16508,16599,16859,17098,17177,17227,17430,17636,17921,18156,18393,18550,18730,18788,18691,18232
208021179,Elsternwick,10340,10373,10415,10493,10527,10668,10878,11031,11199,11278,11292,11352,11476,11687,11825,12110,12236,12408,12504,12494,12032
208021180,Hughesdale,6382,6382,6440,6569,6636,6764,7045,7253,7465,7485,7384,7528,7648,7748,7882,8038,8053,7991,7920,7948,7644
208021181,Murrumbeena,8004,8083,8117,8262,8387,8548,8744,8896,8977,8990,8983,9143,9283,9458,9640,9809,9891,9891,9870,9761,9471
208021182,Ormond - Glen Huntly,10915,11024,11025,11131,11288,11703,12049,12369,12695,12835,12967,13205,13403,13597,13742,14057,14132,14208,14258,14193,13298
208021426,Bentleigh East (North),12594,12654,12716,12877,13023,13194,13413,13706,14046,14152,14196,14411,14648,14930,15198,15482,15707,15973,16393,16790,16756
208021427,Bentleigh East (South),11814,11856,11849,11907,11986,12087,12179,12446,12660,12766,12786,12890,13003,13228,13467,13767,13868,13931,14015,14103,14153
208031183,Aspendale Gardens - Waterways,5561,6096,6421,6683,6971,7365,7857,8269,8818,8987,9109,9216,9281,9358,9366,9427,9395,9372,9319,9179,8927
208031184,Braeside,14,14,14,14,14,14,15,16,18,19,20,28,36,44,52,60,54,47,41,34,28
208031185,Carrum - Patterson Lakes,10278,10560,10689,10740,10808,10864,11020,11382,11623,11700,11664,11676,11743,11844,11953,12111,12214,12323,12321,12252,12115
