SA2,SA2 NAME,Earners,Median age of earners (years),Sum ($),Median ($),Mean ($)
202031033,Loddon,"3,601", 51 ,"178,396,632","41,119","49,541"
203011034,Bannockburn,"4,214", 42 ,"272,091,618","54,881","64,568"
203011035,Golden Plains - South,"4,381", 46 ,"257,883,606","49,785","58,864"
203011036,Winchelsea,"3,854", 47 ,"241,642,262","49,329","62,699"
203021037,Belmont,"8,573", 40 ,"482,411,120","47,862","56,271"
203021038,Corio - Norlane,"11,874", 39 ,"574,277,126","44,170","48,364"
203021039,Geelong,"8,404", 42 ,"567,082,988","51,932","67,478"
203021040,Geelong West - Hamlyn Heights,"12,521", 41 ,"823,997,109","55,640","65,809"
203021041,Grovedale,"16,948", 39 ,"979,549,293","50,679","57,797"
203021042,Highton,"14,219", 44 ,"991,234,022","52,791","69,712"
203021043,Lara,"10,905", 42 ,"695,550,429","55,149","63,783"
203021044,Leopold,"7,644", 43 ,"432,394,305","49,935","56,566"
203021045,Newcomb - Moolap,"8,051", 43 ,"404,793,971","45,931","50,279"
203021046,Newtown (Vicnp),"6,779", 45 ,"578,577,575","59,470","85,349"
203021047,North Geelong - Bell Park,"8,438", 42 ,"499,371,085","49,851","59,181"
203031048,Clifton Springs,"8,521", 46 ,"476,556,448","47,864","55,927"
203031049,Lorne - Anglesea,"3,489", 53 ,"204,684,069","41,429","58,666"
203031050,Ocean Grove - Barwon Heads,"16,554", 45 ,"1,106,726,616","52,476","66,856"
203031051,Portarlington,"4,318", 54 ,"232,756,097","39,988","53,904"
203031052,Point Lonsdale - Queenscliff,"2,993", 57 ,"187,031,777","43,520","62,490"
203031053,Torquay,"13,537", 44 ,"968,102,182","54,955","71,515"
204011054,Alexandra,"3,692", 51 ,"178,745,287","39,452","48,414"
204011055,Euroa,"3,678", 52 ,"170,678,008","39,500","46,405"
204011056,Kilmore - Broadford,"8,053", 44 ,"478,157,174","51,400","59,376"
204011057,Mansfield (Vicnp),"5,509", 49 ,"271,056,596","39,675","49,203"
204011058,Nagambie,"2,426", 48 ,"136,354,808","47,727","56,206"
204011059,Seymour,"3,386", 46 ,"175,854,431","45,393","51,936"
204011060,Seymour Region,"2,454", 44 ,"142,371,491","52,222","58,016"
204011061,Upper Yarra Valley, 97 , 45 ,"4,393,722","41,375","45,296"
204011062,Yea,"2,109", 52 ,"104,591,106","38,638","49,593"
204021063,Benalla,"5,693", 49 ,"286,602,371","44,066","50,343"
204021064,Benalla Region,"2,223", 52 ,"102,527,719","38,640","46,121"
204021065,Rutherglen,"2,336", 48 ,"124,265,372","47,557","53,196"
204021066,Wangaratta,"10,527", 45 ,"571,835,072","47,525","54,321"
204021067,Wangaratta Region,"6,143", 49 ,"309,387,002","42,619","50,364"
204031068,Beechworth,"2,784", 51 ,"144,381,686","44,279","51,861"
204031069,Bright - Mount Beauty,"5,025", 48 ,"242,785,431","39,625","48,316"
204031070,Chiltern - Indigo Valley,"1,925", 48 ,"102,707,198","48,813","53,354"
204031071,Myrtleford,"2,828", 49 ,"140,029,129","42,317","49,515"
204031072,Towong,"3,605", 52 ,"180,373,785","40,331","50,034"
204031073,West Wodonga,"8,661", 43 ,"500,719,612","51,249","57,813"
204031074,Wodonga,"15,048", 42 ,"855,249,656","51,308","56,835"
204031075,Yackandandah,"3,001", 48 ,"171,606,064","49,453","57,183"
205011076,Drouin,"9,763", 43 ,"519,415,885","47,042","53,202"
205011077,Mount Baw Baw Region,"3,730", 49 ,"196,651,673","42,324","52,722"
205011078,Trafalgar (Vicnp),"4,703", 46 ,"268,655,775","46,518","57,124"
205011079,Warragul,"12,240", 45 ,"719,419,276","47,709","58,776"
205021080,Alps - East, 3 , 64 ,"69,486","32,682","23,162"
205021081,Bairnsdale,"8,186", 46 ,"414,390,299","43,540","50,622"
205021082,Bruthen - Omeo,"4,665", 49 ,"207,789,722","40,078","44,542"
205021083,Lake King, np , np , np ,np, np 
205021084,Lakes Entrance,"5,343", 51 ,"249,653,503","36,991","46,725"
205021085,Orbost,"3,260", 52 ,"142,589,583","35,437","43,739"
205021086,Paynesville,"3,462", 55 ,"165,935,931","37,439","47,931"
205031087,Foster,"4,997", 52 ,"235,309,719","37,285","47,090"
205031088,French Island, 43 , 58 ,"912,902","14,698","21,230"
205031089,Korumburra,"5,427", 47 ,"270,138,346","42,483","49,777"
205031090,Leongatha,"6,495", 48 ,"346,432,958","42,792","53,338"
205031091,Phillip Island,"6,534", 49 ,"314,519,370","38,038","48,136"
205031092,Wilsons Promontory, 9 , 47 ,"689,022","70,131","76,558"
205031093,Wonthaggi - Inverloch,"12,695", 49 ,"626,371,450","39,884","49,340"
205041094,Churchill,"6,326", 46 ,"383,778,070","49,120","60,667"
205041095,Moe - Newborough,"8,017", 44 ,"450,135,024","46,041","56,148"
205041096,Morwell,"6,029", 44 ,"306,757,353","43,010","50,880"
205041097,Traralgon,"15,725", 42 ,"1,041,406,472","54,079","66,226"
205041098,Yallourn North - Glengarry,"2,708", 44 ,"175,516,757","51,768","64,814"
205051099,Alps - West, 19 , 54 ,"638,452","25,376","33,603"
205051100,Longford - Loch Sport,"2,291", 50 ,"126,611,668","42,485","55,265"
205051101,Maffra,"7,910", 46 ,"426,904,680","44,993","53,970"
205051102,Rosedale,"2,281", 46 ,"113,012,698","41,947","49,545"
205051103,Sale,"8,160", 44 ,"508,292,826","49,010","62,291"
205051104,Yarram,"2,856", 51 ,"138,585,338","37,232","48,524"
206011105,Brunswick,"19,004", 34 ,"1,309,245,464","57,394","68,893"
206011106,Brunswick East,"8,757", 34 ,"617,340,883","59,822","70,497"
206011107,Brunswick West,"9,397", 35 ,"659,757,301","56,381","70,209"
206011108,Coburg,"16,841", 38 ,"1,117,974,297","54,887","66,384"
206011109,Pascoe Vale South,"6,446", 42 ,"469,076,538","59,867","72,770"
206021110,Alphington - Fairfield,"5,937", 40 ,"499,585,182","61,806","84,148"
206021111,Northcote,"16,821", 39 ,"1,393,836,804","64,111","82,863"
206021112,Thornbury,"12,125", 38 ,"870,010,964","59,278","71,753"
206031113,Ascot Vale,"9,771", 39 ,"788,325,929","61,854","80,680"
206031114,Essendon - Aberfeldie,"19,182", 41 ,"1,578,870,255","61,204","82,310"
206031115,Flemington,"6,212", 34 ,"417,174,462","53,463","67,156"
206031116,Moonee Ponds,"10,067", 40 ,"823,653,935","62,722","81,817"
206041117,Carlton,"9,422", 30 ,"563,346,766","38,891","59,791"
206041118,Docklands,"11,263", 32 ,"805,035,975","55,150","71,476"
206041119,East Melbourne,"3,899", 41 ,"515,175,935","75,755","132,130"
206041120,Flemington Racecourse, 65 , 32 ,"4,136,428","55,538","63,637"
206041121,Kensington (Vicnp),"7,371", 36 ,"597,499,390","67,962","81,061"
206041122,Melbourne,"27,182", 30 ,"1,426,389,488","30,024","52,476"
206041123,North Melbourne,"14,582", 32 ,"972,947,841","50,074","66,723"
206041124,Parkville,"4,045", 32 ,"292,940,311","49,544","72,420"
206041125,South Yarra - West,"5,106", 39 ,"686,411,116","70,451","134,432"
206041126,Southbank,"15,422", 32 ,"1,157,743,652","53,390","75,071"
206041127,West Melbourne, 7 , 41 ,"788,762","82,813","112,680"
206051128,Albert Park,"11,685", 44 ,"1,407,013,358","67,518","120,412"
206051129,Elwood,"11,046", 39 ,"1,018,116,461","68,634","92,171"
206051130,Port Melbourne,"11,132", 43 ,"1,199,212,209","76,501","107,727"
206051131,Port Melbourne Industrial, 610 , 30 ,"42,912,061","49,381","70,348"
206051132,South Melbourne,"8,953", 38 ,"843,708,161","65,395","94,237"
206051133,St Kilda,"20,537", 34 ,"1,596,845,433","59,622","77,755"
206051134,St Kilda East,"12,218", 34 ,"898,478,780","60,012","73,537"
206061135,Armadale,"6,974", 40 ,"778,500,109","69,563","111,629"
206061136,Prahran - Windsor,"15,150", 34 ,"1,341,199,229","66,724","88,528"
206061137,South Yarra - East,"16,272", 33 ,"1,541,734,638","66,969","94,748"
206061138,Toorak,"10,071", 49 ,"1,902,471,849","75,759","188,906"
206071139,Abbotsford,"6,589", 33 ,"515,133,619","64,090","78,181"
206071140,Carlton North - Princes Hill,"6,129", 37 ,"544,297,185","60,116","88,807"
206071141,Collingwood,"6,380", 33 ,"495,760,238","63,876","77,705"
206071142,Fitzroy,"7,189", 35 ,"618,516,101","60,939","86,036"
206071143,Fitzroy North,"8,812", 37 ,"821,275,019","65,192","93,200"
206071144,Richmond (Vicnp),"22,825", 34 ,"2,001,725,264","70,247","87,699"
206071145,Yarra - North,"6,261", 40 ,"623,334,756","70,982","99,558"
207011146,Ashburton (Vicnp),"4,892", 46 ,"470,750,756","62,937","96,229"
207011147,Balwyn,"11,052", 48 ,"978,070,216","51,902","88,497"
207011148,Balwyn North,"13,512", 48 ,"1,116,651,925","52,750","82,641"
207011149,Camberwell,"14,501", 47 ,"1,471,718,734","61,520","101,491"
207011150,Glen Iris - East,"11,555", 46 ,"1,180,383,194","65,964","102,153"
207011151,Hawthorn,"17,287", 38 ,"1,804,137,805","59,945","104,364"
207011152,Hawthorn East,"11,148", 39 ,"1,075,346,253","62,766","96,461"
207011153,Kew,"17,095", 45 ,"1,923,913,619","64,299","112,542"
207011154,Kew East,"4,272", 46 ,"396,461,672","60,124","92,805"
207011155,Surrey Hills (West) - Canterbury,"11,103", 48 ,"1,244,517,879","65,212","112,088"
207021156,Bulleen,"6,946", 47 ,"457,666,405","49,223","65,889"
207021157,Doncaster,"14,237", 44 ,"845,497,762","42,170","59,387"
207021159,Templestowe,"10,914", 49 ,"873,330,191","49,823","80,019"
207021160,Templestowe Lower,"8,144", 47 ,"531,411,670","48,542","65,252"
207021424,Doncaster East (North),"9,886", 47 ,"598,177,901","45,091","60,508"
207021425,Doncaster East (South),"8,612", 43 ,"488,856,872","42,223","56,765"
207031161,Blackburn,"14,088", 44 ,"1,002,721,718","52,500","71,176"
207031162,Blackburn South,"6,283", 45 ,"406,026,759","49,900","64,623"
207031163,Box Hill,"12,915", 38 ,"716,762,820","39,731","55,498"
207031164,Box Hill North,"11,124", 43 ,"739,440,373","49,538","66,473"
207031165,Burwood,"7,160", 37 ,"389,826,080","36,278","54,445"
207031166,Burwood East,"6,275", 43 ,"340,557,935","41,159","54,272"
207031167,Surrey Hills (East) - Mont Albert,"6,925", 46 ,"627,006,353","60,668","90,542"
208011168,Beaumaris,"9,258", 50 ,"880,248,220","59,983","95,080"
208011169,Brighton (Vicnp),"16,253", 50 ,"2,240,700,604","69,529","137,864"
208011170,Brighton East,"10,293", 48 ,"1,050,939,851","62,676","102,102"
208011171,Cheltenham - Highett (West),"7,438", 43 ,"586,614,784","61,107","78,867"
208011172,Hampton,"11,547", 47 ,"1,190,343,925","62,000","103,087"
208011173,Sandringham - Black Rock,"11,359", 50 ,"1,172,903,803","63,236","103,258"
208021174,Bentleigh - McKinnon,"15,047", 44 ,"1,163,915,094","57,362","77,352"
208021176,Carnegie,"11,945", 37 ,"821,610,549","54,084","68,783"
208021177,Caulfield - North,"14,662", 39 ,"1,415,250,989","60,528","96,525"
208021178,Caulfield - South,"11,675", 45 ,"999,498,852","59,427","85,610"
208021179,Elsternwick,"8,120", 41 ,"744,225,392","63,323","91,653"
208021180,Hughesdale,"4,600", 40 ,"313,286,133","54,341","68,106"
208021181,Murrumbeena,"6,259", 40 ,"449,869,903","55,451","71,876"
208021182,Ormond - Glen Huntly,"9,185", 38 ,"673,769,973","55,022","73,355"
208021426,Bentleigh East (North),"9,401", 44 ,"666,190,272","55,684","70,864"
208021427,Bentleigh East (South),"8,190", 44 ,"581,029,573","55,132","70,944"
208031183,Aspendale Gardens - Waterways,"5,618", 46 ,"378,036,159","53,498","67,290"
208031184,Braeside, 138 , 52 ,"11,024,833","64,828","79,890"
208031185,Carrum - Patterson Lakes,"7,424", 46 ,"520,598,275","55,429","70,124"
208031186,Chelsea - Bonbeach,"8,707", 42 ,"581,452,725","57,912","66,780"
208031187,Chelsea Heights,"3,165", 43 ,"190,720,687","54,284","60,259"
208031188,Cheltenham - Highett (East),"14,549", 42 ,"972,375,731","55,868","66,835"
208031189,Edithvale - Aspendale,"8,202", 44 ,"609,803,309","59,805","74,348"
208031190,Mentone,"8,596", 44 ,"620,723,232","57,231","72,211"
208031191,Moorabbin - Heatherton,"5,592", 43 ,"379,224,910","54,256","67,816"
208031192,Moorabbin Airport, 8 , 53 ,"991,399","72,075","123,925"
208031193,Mordialloc - Parkdale,"13,021", 45 ,"978,312,968","60,719","75,133"
208041194,Malvern - Glen Iris,"14,437", 43 ,"1,723,656,958","69,729","119,392"
208041195,Malvern East,"14,094", 43 ,"1,432,975,022","59,487","101,673"
209011196,Bundoora - East,"5,821", 42 ,"335,066,046","47,739","57,562"
209011197,Greensborough,"13,043", 44 ,"888,741,993","56,606","68,139"
209011198,Heidelberg - Rosanna,"9,755", 43 ,"732,130,901","60,604","75,052"
209011199,Heidelberg West,"8,179", 37 ,"474,931,189","49,231","58,067"
209011200,Ivanhoe,"8,255", 43 ,"751,862,734","63,441","91,080"
209011201,Ivanhoe East - Eaglemont,"5,519", 49 ,"615,687,218","67,321","111,558"
209011202,Montmorency - Briar Hill,"10,215", 45 ,"763,073,424","58,432","74,701"
209011203,Viewbank - Yallambie,"11,035", 44 ,"740,911,772","56,529","67,142"
209011204,Watsonia,"5,516", 42 ,"355,045,244","56,433","64,366"
209021205,Kingsbury,"6,278", 38 ,"362,096,331","42,110","57,677"
209021207,Reservoir - East,"15,566", 36 ,"837,120,075","47,487","53,779"
209021208,Reservoir - West,"13,801", 39 ,"788,634,443","48,975","57,143"
209021428,Preston - East,"12,549", 37 ,"769,622,993","52,263","61,329"
209021429,Preston - West,"7,839", 40 ,"515,395,421","54,494","65,748"
209031209,Eltham,"15,220", 47 ,"1,158,311,878","58,655","76,105"
209031210,Hurstbridge,"2,195", 46 ,"142,026,155","55,808","64,704"
209031211,Kinglake,"2,329", 45 ,"134,063,877","48,674","57,563"
209031212,Panton Hill - St Andrews,"3,317", 49 ,"225,009,152","50,492","67,835"
209031213,Plenty - Yarrambat,"6,326", 46 ,"489,333,985","58,178","77,353"
209031214,Research - North Warrandyte,"4,402", 48 ,"363,843,373","58,242","82,654"
209031215,Wattle Glen - Diamond Creek,"9,167", 45 ,"650,862,767","58,722","71,001"
209041216,Bundoora - North,"4,471", 40 ,"264,323,637","48,434","59,120"
209041217,Bundoora - West,"3,521", 40 ,"181,373,375","45,073","51,512"
209041219,Lalor,"11,440", 37 ,"561,186,680","43,883","49,055"
209041220,Mill Park - North,"10,984", 42 ,"630,422,132","50,871","57,395"
209041221,Mill Park - South,"6,918", 41 ,"379,388,816","48,854","54,841"
209041223,Thomastown,"10,402", 37 ,"505,935,684","43,212","48,638"
209041224,Wallan,"11,176", 39 ,"674,638,999","54,135","60,365"
209041225,Whittlesea,"4,855", 45 ,"303,874,364","51,318","62,590"
209041430,Doreen,"13,777", 39 ,"883,536,140","57,126","64,131"
209041431,Epping - East,"7,269", 39 ,"397,058,027","49,607","54,623"
209041432,Epping - South,"4,575", 38 ,"227,446,036","45,580","49,715"
209041433,Epping - West,"6,376", 37 ,"354,530,870","50,360","55,604"
209041434,Mernda,"11,828", 37 ,"719,444,686","54,937","60,826"
209041435,South Morang (North),"7,361", 40 ,"460,065,112","55,083","62,500"
209041436,South Morang (South),"7,125", 40 ,"416,932,045","52,760","58,517"
209041437,Wollert,"7,985", 35 ,"455,614,503","51,903","57,059"
210011226,Airport West,"4,842", 41 ,"315,715,682","58,506","65,204"
210011227,Essendon Airport, 18 , 53 ,"860,119","22,966","47,784"
210011228,Keilor,"5,366", 46 ,"368,956,535","54,647","68,758"
210011229,Keilor East,"15,130", 44 ,"979,397,953","53,443","64,732"
210011230,Niddrie - Essendon West,"4,482", 43 ,"322,799,365","58,938","72,021"
210011231,Strathmore,"6,429", 46 ,"516,377,414","60,499","80,320"
210021232,Gisborne,"8,257", 45 ,"604,983,367","58,611","73,269"
210021233,Macedon,"2,102", 49 ,"180,783,256","60,690","86,005"
210021234,Riddells Creek,"2,656", 47 ,"177,015,584","54,717","66,647"
210021235,Romsey,"5,883", 46 ,"388,566,841","52,984","66,049"
210031236,Coburg North,"5,067", 38 ,"316,290,905","53,697","62,422"
210031237,Fawkner,"7,001", 36 ,"354,570,149","42,163","50,646"
210031239,Pascoe Vale,"15,325", 37 ,"1,020,905,273","58,013","66,617"
210031438,Glenroy,"13,495", 34 ,"714,195,466","46,600","52,923"
210031439,Gowanbrae,"1,851", 43 ,"131,771,337","61,648","71,189"
210031440,Hadfield,"3,124", 38 ,"180,402,265","50,497","57,747"
210041240,Sunbury,"8,242", 44 ,"544,844,847","56,178","66,106"
210041241,Sunbury - South,"17,563", 41 ,"1,095,138,621","55,406","62,355"
210051242,Broadmeadows,"6,021", 33 ,"253,651,455","36,152","42,128"
210051243,Campbellfield - Coolaroo,"6,474", 36 ,"283,460,614","37,155","43,784"
210051245,Gladstone Park - Westmeadows,"10,202", 42 ,"592,330,444","51,616","58,060"
210051246,Greenvale - Bulla,"11,549", 40 ,"749,418,860","54,069","64,890"
210051247,Meadow Heights,"5,920", 36 ,"254,401,392","39,246","42,973"
210051248,Melbourne Airport, 63 , 51 ,"3,952,798","50,700","62,743"
210051249,Roxburgh Park - Somerton,"10,352", 38 ,"511,573,062","43,484","49,418"
210051250,Tullamarine,"3,683", 39 ,"211,378,766","52,864","57,393"
210051441,Craigieburn - Central,"4,492", 38 ,"232,623,543","47,641","51,786"
210051442,Craigieburn - North,"6,687", 38 ,"378,434,746","51,085","56,593"
210051443,Craigieburn - South,"10,195", 36 ,"542,810,680","48,568","53,243"
210051444,Craigieburn - West,"9,333", 35 ,"499,406,026","49,031","53,510"
210051445,Mickleham - Yuroke,"6,743", 34 ,"387,777,617","53,025","57,508"
211011251,Bayswater,"7,461", 40 ,"411,512,127","50,128","55,155"
211011254,Knoxfield - Scoresby,"9,898", 42 ,"586,623,671","50,921","59,267"
211011255,Lysterfield,"4,541", 45 ,"337,535,274","56,336","74,331"
211011256,Rowville - Central,"9,853", 43 ,"596,484,435","51,920","60,538"
211011257,Rowville - North,"5,082", 44 ,"322,817,353","53,111","63,522"
211011258,Rowville - South,"7,010", 45 ,"452,198,627","53,535","64,508"
211011259,Wantirna,"8,843", 44 ,"513,411,437","48,658","58,059"
211011260,Wantirna South,"11,320", 45 ,"672,304,520","48,434","59,391"
211011446,Boronia,"13,440", 41 ,"765,298,755","51,495","56,942"
211011447,Ferntree Gully (North),"8,275", 42 ,"481,396,362","51,491","58,175"
211011448,Ferntree Gully (South) - Upper Ferntree Gully,"9,344", 42 ,"553,105,326","52,396","59,194"
211011449,The Basin,"2,644", 43 ,"161,525,463","54,777","61,091"
211021261,Donvale - Park Orchards,"10,473", 47 ,"819,191,906","52,268","78,219"
211021262,Warrandyte - Wonga Park,"6,810", 48 ,"638,324,122","57,434","93,733"
211031263,Bayswater North,"7,251", 42 ,"432,546,004","52,676","59,653"
211031265,Croydon Hills - Warranwood,"11,754", 45 ,"797,312,729","55,075","67,833"
211031266,Ringwood,"10,844", 40 ,"648,525,639","50,678","59,805"
211031267,Ringwood East,"12,498", 43 ,"796,815,171","53,897","63,755"
211031268,Ringwood North,"6,168", 46 ,"423,034,560","54,948","68,585"
211031450,Croydon - East,"9,067", 40 ,"524,401,726","52,390","57,836"
211031451,Croydon - West,"8,092", 43 ,"502,090,603","51,471","62,048"
211031452,Croydon South,"2,861", 43 ,"169,918,882","52,306","59,391"
211041269,Forest Hill,"6,407", 43 ,"376,550,036","47,612","58,772"
211041270,Mitcham (Vicnp),"10,599", 42 ,"687,532,322","53,085","64,868"
211041271,Nunawading,"7,287", 41 ,"458,862,985","50,739","62,970"
211041272,Vermont,"6,497", 44 ,"407,569,209","50,431","62,732"
211041273,Vermont South,"7,617", 48 ,"464,556,054","44,201","60,989"
211051274,Belgrave - Selby,"6,372", 44 ,"419,034,816","53,055","65,762"
211051275,Chirnside Park,"7,024", 43 ,"442,566,323","53,497","63,008"
211051276,Healesville - Yarra Glen,"8,182", 46 ,"473,356,408","47,104","57,853"
211051277,Kilsyth,"5,430", 41 ,"318,001,702","51,353","58,564"
211051278,Lilydale - Coldstream,"11,566", 44 ,"742,521,372","52,006","64,199"
211051279,Monbulk - Silvan,"3,592", 46 ,"213,512,520","48,222","59,441"
211051280,Montrose,"4,102", 44 ,"262,363,777","53,267","63,960"
211051281,Mooroolbark,"13,601", 41 ,"822,290,059","52,876","60,458"
211051282,Mount Dandenong - Olinda,"6,085", 48 ,"406,680,978","51,924","66,833"
211051283,Mount Evelyn,"5,976", 43 ,"355,993,575","51,498","59,571"
211051284,Upwey - Tecoma,"6,287", 44 ,"401,381,161","55,406","63,843"
211051285,Wandin - Seville,"5,021", 44 ,"313,123,123","51,657","62,363"
211051286,Yarra Valley,"9,341", 45 ,"495,455,387","46,606","53,041"
212011287,Beaconsfield - Officer,"11,922", 38 ,"769,755,703","56,718","64,566"
212011288,Bunyip - Garfield,"5,567", 45 ,"325,057,688","48,943","58,390"
212011289,Emerald - Cockatoo,"11,140", 45 ,"716,877,715","52,792","64,352"
212011290,Koo Wee Rup,"4,848", 42 ,"268,607,499","48,999","55,406"
212011291,Pakenham - North,"11,529", 36 ,"650,072,404","52,165","56,386"
212011292,Pakenham - South,"16,821", 38 ,"928,435,372","50,193","55,195"
212021293,Berwick - North,"14,015", 46 ,"946,062,133","53,002","67,504"
212021294,Berwick - South,"15,969", 41 ,"1,005,201,746","53,890","62,947"
212021295,Doveton,"5,485", 36 ,"243,165,787","42,311","44,333"
212021297,Hallam,"5,791", 39 ,"287,522,045","44,234","49,650"
212021299,Narre Warren North,"5,159", 47 ,"387,780,437","53,639","75,166"
212021453,Endeavour Hills - North,"6,753", 41 ,"377,032,407","48,873","55,832"
212021454,Endeavour Hills - South,"7,785", 42 ,"415,614,307","47,321","53,387"
212021455,Narre Warren - North East,"7,998", 41 ,"445,488,668","50,238","55,700"
212021456,Narre Warren - South West,"8,031", 38 ,"411,023,591","47,749","51,180"
212031300,Cranbourne,"11,063", 38 ,"563,395,009","48,067","50,926"
212031301,Cranbourne East,"25,862", 36 ,"1,481,868,147","52,844","57,299"
212031302,Cranbourne North,"12,900", 38 ,"714,432,183","50,912","55,382"
212031303,Cranbourne South,"7,413", 39 ,"467,874,577","55,440","63,115"
212031304,Cranbourne West,"10,528", 36 ,"564,456,340","50,591","53,615"
212031305,Hampton Park - Lynbrook,"13,531", 38 ,"667,664,017","47,257","49,343"
212031306,Lynbrook - Lyndhurst,"9,537", 38 ,"554,016,945","52,114","58,091"
212031308,Pearcedale - Tooradin,"4,796", 45 ,"296,872,209","52,929","61,900"
212031457,Narre Warren South (East),"7,910", 43 ,"474,851,570","50,794","60,032"
212031458,Narre Warren South (West),"9,115", 40 ,"491,076,851","49,029","53,876"
212041309,Clarinda - Oakleigh South,"6,664", 42 ,"376,860,670","48,624","56,552"
212041310,Clayton South,"7,807", 35 ,"379,483,988","41,948","48,608"
212041311,Dandenong,"15,915", 35 ,"730,619,563","40,965","45,908"
212041312,Dandenong North,"12,036", 39 ,"602,649,475","45,046","50,071"
212041313,Dingley Village,"6,475", 46 ,"403,524,190","51,882","62,320"
212041314,Keysborough,"16,704", 39 ,"929,506,059","47,768","55,646"
212041316,Noble Park North,"4,012", 40 ,"198,841,399","45,550","49,562"
212041317,Springvale,"12,210", 35 ,"525,243,101","37,720","43,017"
212041318,Springvale South,"6,900", 38 ,"307,577,227","41,632","44,576"
212041459,Noble Park - East,"7,417", 34 ,"345,098,912","43,390","46,528"
212041460,Noble Park - West,"10,508", 36 ,"464,136,260","40,731","44,170"
212051319,Ashwood - Chadstone,"11,715", 38 ,"753,816,599","50,605","64,346"
212051320,Clayton,"11,056", 31 ,"489,690,526","33,446","44,292"
212051321,Glen Waverley - East,"13,505", 46 ,"809,886,338","41,614","59,969"
212051322,Glen Waverley - West,"12,548", 44 ,"729,110,296","42,153","58,106"
212051323,Mount Waverley - North,"10,220", 45 ,"672,191,673","46,068","65,772"
212051324,Mount Waverley - South,"12,055", 44 ,"801,323,430","49,174","66,472"
212051325,Mulgrave,"11,496", 42 ,"681,699,528","49,274","59,299"
212051326,Oakleigh - Huntingdale,"13,624", 39 ,"853,123,995","51,092","62,619"
212051327,Wheelers Hill,"12,805", 48 ,"878,551,465","46,840","68,610"
213011328,Ardeer - Albion,"4,479", 35 ,"224,299,173","44,333","50,078"
213011329,Cairnlea,"5,567", 40 ,"303,235,465","48,507","54,470"
213011330,Deer Park - Derrimut,"14,083", 37 ,"759,999,250","49,400","53,966"
213011331,Delahey,"4,551", 39 ,"231,112,531","47,704","50,783"
213011332,Keilor Downs,"7,466", 42 ,"416,752,682","48,481","55,820"
213011333,Kings Park (Vicnp),"6,608", 39 ,"305,458,502","44,383","46,226"
213011334,St Albans - North,"10,444", 35 ,"456,210,821","39,148","43,682"
213011335,St Albans - South,"8,533", 36 ,"370,912,781","39,238","43,468"
213011336,Sunshine,"5,971", 35 ,"299,258,602","42,718","50,119"
213011337,Sunshine North,"6,314", 37 ,"298,793,792","41,568","47,322"
213011338,Sunshine West,"9,833", 37 ,"483,082,838","44,582","49,129"
