SA2,SA2 NAME,Earners,Median age of earners (years),Sum ($),Median ($),Mean ($)
Victoria,,"3,714,224", 41 ,"242,783,096,575","51,027","65,366"
201011001,Alfredton,"7,989", 42 ,"508,645,842","53,932","63,668"
201011002,Ballarat,"7,595", 47 ,"591,465,895","53,688","77,876"
201011003,Ballarat - North,"13,598", 43 ,"820,866,354","50,593","60,367"
201011004,Ballarat - South,"12,722", 40 ,"646,001,740","45,828","50,778"
201011005,Buninyong,"4,249", 46 ,"268,782,250","52,377","63,258"
201011006,Delacombe,"4,723", 39 ,"259,030,919","49,909","54,845"
201011007,Smythes Creek,"2,583", 46 ,"154,296,386","53,154","59,735"
201011008,Wendouree - Miners Rest,"7,380", 42 ,"371,981,376","46,287","50,404"
201021009,Bacchus Marsh Region,"3,572", 46 ,"219,909,271","52,033","61,565"
201021010,Creswick - Clunes,"4,294", 48 ,"224,288,996","43,736","52,233"
201021011,Daylesford,"5,363", 51 ,"279,110,353","40,825","52,044"
201021012,Gordon (Vicnp),"3,633", 47 ,"219,520,957","50,462","60,424"
201031013,Avoca,"1,724", 50 ,"79,881,106","39,893","46,335"
201031014,Beaufort,"2,268", 48 ,"113,026,373","41,170","49,835"
201031015,Golden Plains - North,"2,520", 46 ,"133,035,001","47,311","52,792"
201031016,Maryborough (Vicnp),"3,500", 47 ,"159,929,281","40,679","45,694"
201031017,Maryborough Region,"2,476", 49 ,"110,105,628","38,664","44,469"
202011018,Bendigo,"7,941", 42 ,"475,072,846","47,893","59,825"
202011019,California Gully - Eaglehawk,"6,334", 41 ,"314,714,787","46,685","49,687"
202011020,East Bendigo - Kennington,"8,176", 46 ,"495,279,115","48,672","60,577"
202011021,Flora Hill - Spring Gully,"5,407", 43 ,"312,545,998","49,582","57,804"
202011022,Kangaroo Flat - Golden Square,"10,845", 42 ,"561,632,750","47,362","51,787"
202011023,Maiden Gully,"3,289", 43 ,"198,592,966","53,063","60,381"
202011024,Strathfieldsaye,"5,906", 44 ,"392,318,960","55,491","66,427"
202011025,White Hills - Ascot,"7,636", 39 ,"428,846,221","51,368","56,161"
202021026,Bendigo Region - South,"4,634", 46 ,"280,900,232","51,446","60,617"
202021027,Castlemaine,"5,656", 50 ,"294,803,866","42,951","52,122"
202021028,Castlemaine Region,"5,017", 51 ,"257,579,832","41,687","51,341"
202021029,Heathcote,"2,258", 51 ,"118,081,965","43,832","52,295"
202021030,Kyneton,"5,928", 47 ,"361,501,469","47,443","60,982"
202021031,Woodend,"4,410", 48 ,"326,308,186","56,116","73,993"
202031032,Bendigo Region - North,"2,650", 48 ,"143,085,889","47,033","53,995"
