DATAFLOW,SEXP: Sex,INCP: Total personal income (weekly),AGEP: Age,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,203031052: Point Lonsdale - Queenscliff,SA2: Statistical Area Level 2,2: Victoria,2021,2276
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,207021157: Doncaster,SA2: Statistical Area Level 2,2: Victoria,2021,21331
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,209011200: Ivanhoe,SA2: Statistical Area Level 2,2: Victoria,2021,4926
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,213021342: Altona Meadows,SA2: Statistical Area Level 2,2: Victoria,2021,8045
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,208031190: Mentone,SA2: Statistical Area Level 2,2: Victoria,2021,5893
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,212041312: Dandenong North,SA2: Statistical Area Level 2,2: Victoria,2021,9338
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,204031068: Beechworth,SA2: Statistical Area Level 2,2: Victoria,2021,2148
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,209031213: Plenty - Yarrambat,SA2: Statistical Area Level 2,2: Victoria,2021,3933
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,212051326: Oakleigh - Huntingdale,SA2: Statistical Area Level 2,2: Victoria,2021,9500
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,208021174: Bentleigh - McKinnon,SA2: Statistical Area Level 2,2: Victoria,2021,9610
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,212031300: Cranbourne,SA2: Statistical Area Level 2,2: Victoria,2021,16979
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,212021456: Narre Warren - South West,SA2: Statistical Area Level 2,2: Victoria,2021,5857
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,208021427: Bentleigh East - South,SA2: Statistical Area Level 2,2: Victoria,2021,5489
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,203021488: Norlane,SA2: Statistical Area Level 2,2: Victoria,2021,7622
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,212051322: Glen Waverley - West,SA2: Statistical Area Level 2,2: Victoria,2021,8964
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,209041432: Epping - South,SA2: Statistical Area Level 2,2: Victoria,2021,6895
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,213051585: Tarneit - South,SA2: Statistical Area Level 2,2: Victoria,2021,7998
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,211051283: Mount Evelyn,SA2: Statistical Area Level 2,2: Victoria,2021,3863
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,215031402: Kerang,SA2: Statistical Area Level 2,2: Victoria,2021,1578
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,204031492: Wodonga,SA2: Statistical Area Level 2,2: Victoria,2021,12454
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,213051581: Point Cook - North West,SA2: Statistical Area Level 2,2: Victoria,2021,3514
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,209041223: Thomastown,SA2: Statistical Area Level 2,2: Victoria,2021,8437
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,201031017: Maryborough Surrounds,SA2: Statistical Area Level 2,2: Victoria,2021,2290
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,213011336: Sunshine,SA2: Statistical Area Level 2,2: Victoria,2021,3820
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,204031072: Towong,SA2: Statistical Area Level 2,2: Victoria,2021,2649
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,204011057: Mansfield (Vic.),SA2: Statistical Area Level 2,2: Victoria,2021,4315
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,202011024: Strathfieldsaye,SA2: Statistical Area Level 2,2: Victoria,2021,3969
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,215021470: Mildura - South,SA2: Statistical Area Level 2,2: Victoria,2021,7089
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,206051511: Port Melbourne Industrial,SA2: Statistical Area Level 2,2: Victoria,2021,1742
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,202011019: California Gully - Eaglehawk,SA2: Statistical Area Level 2,2: Victoria,2021,4933
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,213021341: Altona,SA2: Statistical Area Level 2,2: Victoria,2021,11172
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,209041216: Bundoora - North,SA2: Statistical Area Level 2,2: Victoria,2021,3175
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,213051467: Werribee - East,SA2: Statistical Area Level 2,2: Victoria,2021,7915
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,209041527: Doreen - North,SA2: Statistical Area Level 2,2: Victoria,2021,11940
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,209041433: Epping (Vic.) - West,SA2: Statistical Area Level 2,2: Victoria,2021,4385
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,207031164: Box Hill North,SA2: Statistical Area Level 2,2: Victoria,2021,7820
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,211051279: Monbulk - Silvan,SA2: Statistical Area Level 2,2: Victoria,2021,2368
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,213051586: Truganina - North,SA2: Statistical Area Level 2,2: Victoria,2021,4173
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,202021027: Castlemaine,SA2: Statistical Area Level 2,2: Victoria,2021,9742
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,213011340: Taylors Lakes,SA2: Statistical Area Level 2,2: Victoria,2021,7203
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,215021395: Irymple,SA2: Statistical Area Level 2,2: Victoria,2021,3074
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,209041527: Doreen - North,SA2: Statistical Area Level 2,2: Victoria,2021,6192
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,211011251: Bayswater,SA2: Statistical Area Level 2,2: Victoria,2021,10526
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,210051248: Melbourne Airport,SA2: Statistical Area Level 2,2: Victoria,2021,62
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,299999499: No usual address (Vic.),SA2: Statistical Area Level 2,2: Victoria,2021,3373
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,210051443: Craigieburn - South,SA2: Statistical Area Level 2,2: Victoria,2021,16320
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,206051511: Port Melbourne Industrial,SA2: Statistical Area Level 2,2: Victoria,2021,833
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,206041120: Flemington Racecourse,SA2: Statistical Area Level 2,2: Victoria,2021,78
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,217041480: Warrnambool - South,SA2: Statistical Area Level 2,2: Victoria,2021,5950
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,209041531: Mernda - North,SA2: Statistical Area Level 2,2: Victoria,2021,3988
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,207021159: Templestowe,SA2: Statistical Area Level 2,2: Victoria,2021,7484
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,217031471: Camperdown,SA2: Statistical Area Level 2,2: Victoria,2021,2951
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,211021262: Warrandyte - Wonga Park,SA2: Statistical Area Level 2,2: Victoria,2021,4186
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,210051544: Roxburgh Park (South) - Somerton,SA2: Statistical Area Level 2,2: Victoria,2021,3770
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,299999499: No usual address (Vic.),SA2: Statistical Area Level 2,2: Victoria,2021,7946
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,215031401: Gannawarra,SA2: Statistical Area Level 2,2: Victoria,2021,5692
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,215021469: Mildura - North,SA2: Statistical Area Level 2,2: Victoria,2021,7147
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,213051590: Wyndham Vale - South,SA2: Statistical Area Level 2,2: Victoria,2021,10210
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,206051128: Albert Park,SA2: Statistical Area Level 2,2: Victoria,2021,6629
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,206041508: Southbank (West) - South Wharf,SA2: Statistical Area Level 2,2: Victoria,2021,2951
